,available_translations,first_aired,ids.imdb,ids.tmdb,ids.trakt,ids.tvdb,ids.tvrage,number,number_abs,overview,rating,season,title,updated_at,votes
0,[],2012-04-23 01:00:00,tt2069319,63069,73653,4245773,0,4,,"Joffrey punishes Sansa for Robb’s victories, and Tyrion scrambles to temper the king’s cruelty. Catelyn entreats Stannis and Renly to unite against the Lannisters. Dany and her khalasar arrive at the prosperous city of Qarth. Tyrion coerces a relative into being his eyes and ears. Arya and Gendry are taken to Harrenhal, where their lives are in the hands of Ser Gregor Clegane. Stannis orders Davos to smuggle Melisandre into a secret cove.",8.45204,2,Garden of Bones,2016-06-04T07:30:55.000Z,3232
0,[],2012-04-30 01:00:00,tt2074658,63070,73654,4245774,0,5,,"The Baratheon rivalry ends, driving Catelyn to flee and Littlefinger to act. At King’s Landing, Tyrion’s source alerts him to Joffrey’s defense plan - and a mysterious secret weapon. Theon sails to the Stony Shore to prove he’s worthy to be called Ironborn. At Harrenhal, Arya receives a promise from Jaqen H’ghar, one of the prisoners she saved from the Gold Cloaks. The Night’s Watch arrive at the Fist of the First Men, an ancient ringfort where they hope to stem the wildings' advance.",8.42921,2,The Ghost of Harrenhal,2016-06-04T12:12:11.000Z,3108
0,[],2012-05-07 01:00:00,tt2085238,63071,73655,4245775,0,6,,"Theon completes his master stroke. In King's Landing, the Lannisters send Myrcella off to be married. Arya comes face to face with a surprise visitor. Dany vows to take what is hers. Robb and Catelyn receive crucial news. Qhorin gives Jon a chance to prove himself.",8.474,2,The Old Gods and the New,2016-06-04T11:30:40.000Z,3116
0,[],2012-05-14 01:00:00,tt2085239,63073,73656,4245776,0,7,,Jamie meets a distant relative. Daenerys receives an invitation to the House of the Undying. Theon leads a search party. Jon loses his way in the wilderness. Cersei counsels Sansa.,8.45478,2,A Man Without Honor,2016-06-04T10:43:40.000Z,3063
0,[],2012-05-21 01:00:00,tt2085240,63074,73657,4245777,0,8,,"Theon receives a visitor. Arya asks her third and last death from Jaqen. While Stannis' army is reaching its destination, Davos is offered a reward.  Betrayal befalls Robb.",8.38137,2,The Prince of Winterfell,2016-06-04T11:42:49.000Z,3060
0,[],2012-05-28 01:00:00,tt2084342,63072,73658,4245778,0,9,,Tyrion and the Lannisters fight for their lives as Stannis’ fleet assaults King’s Landing.,8.8995,2,Blackwater,2016-06-04T11:30:16.000Z,3413
0,[],2012-06-04 01:00:00,tt2112510,63075,73659,4245779,0,10,,"Tyrion awakens to a changed situation. King Joffrey doles out rewards to his subjects. As Theon stirs his men to action, Luwin offers some final advice. Brienne silences Jaime. Arya receives a gift from Jaqen. Dany goes to a strange place. Jon proves himself to Qhorin.",8.83656,2,Valar Morghulis,2016-06-04T12:34:36.000Z,3310
0,[],2013-04-01 01:00:00,tt2178782,63077,73660,4293685,0,1,,"Jon meets the King-Beyond-the-Wall while his Night Watch Brothers flee south. In King's Landing, Tyrion wants a reward, Margaery shows her charitable nature, Cersei arranges a dinner party, and Littlefinger offers to help Sansa. Across the Narrow Sea, Daenerys starts her journey west.",8.49743,3,Valar Dohaeris,2016-06-04T04:51:01.000Z,4873
0,[],2013-04-08 01:00:00,tt2178772,63076,73661,4517458,0,2,,"Sansa says too much. Shae asks Tyrion for a favor. Jaime finds a way to pass the time, while Arya encounters the Brotherhood Without Banners.",8.28002,3,"Dark Wings, Dark Words",2016-06-04T04:26:44.000Z,4364
0,[],2013-04-15 01:00:00,tt2178802,63078,73662,4517459,0,3,,Tyrion shoulders new responsibilities. Jon is taken to the Fist of the First Men. Daenerys meets with the slavers. Jaime strikes a deal with his captors.,8.39239,3,Walk of Punishment,2016-06-04T02:42:22.000Z,4391
0,[],2013-04-22 01:00:00,tt2178798,63082,73663,4517460,0,4,,Trouble brews among the Night's Watch at Craster's. Margaery takes Joffrey out of his comfort zone. Arya meets the leader of the Brotherhood. Varys plots revenge on an old foe. Theon mournfully recalls his missteps. Daenerys deftly orchestrates her exit from Astapor.,8.93925,3,And Now His Watch Is Ended,2016-06-04T03:34:54.000Z,4757
